state,raw,canonical,,,,
"# Two raw sources feed committee_type, and they spell things differently.",,,,,,
#,,,,,,
# Report Entity Type (transaction exports) prefixes committee subtypes with,,,,,,
# 'PAC - '. This is the source for most rows.,,,,,,
NM,Candidate,Candidate Committee,,,,
NM,PAC,PAC,,,,
NM,PAC - Contribution or Coordination,PAC,,,,
NM,PAC - Political Party/Central Committee,Party Committee,,,,
NM,PAC - Legislative Caucus Committee,Party Committee,,,,
NM,PAC - Independent Expenditure,Independent Expenditure,,,,
NM,PAC - Mixed (Independent & Contribution/Coordination),PAC,,,,
#,,,,,,
# CommitteeSubtype / CommitteeType (registry) carry the same labels,,,,,,
"# unprefixed. Subtype is a literal 'Other' on 586 of 1,452 registry rows,",,,,,,
# in which case the parser falls back to the parent type.,,,,,,
NM,Political Committee,PAC,,,,
NM,Contribution or Coordination,PAC,,,,
NM,Political Party/Central Committee,Party Committee,,,,
NM,Legislative Caucus Committee,Party Committee,,,,
NM,Independent Expenditure,Independent Expenditure,,,,
NM,Mixed (Independent & Contribution/Coordination),PAC,,,,
NM,Individual Independent Expenditure Filer,Independent Expenditure,,,,
NM,Other,Other,,,,
MO,Candidate,Candidate Committee,,,,
MO,Exploratory,Candidate Committee,,,,
MO,Federal PAC,PAC,,,,
MO,Political Action,PAC,,,,
MO,Out of State,PAC,,,,
MO,Political Party,Party Committee,,,,
# Campaign/Debt Service/Exemption/Non-Committee are MEC-specific administrative
# sub-types (e.g. debt-retirement-only committees, exemption filers) that don't
# map cleanly onto the shared Candidate/PAC/Party vocabulary -- left as Other.
MO,Campaign,Other,,,,
MO,Debt Service,Other,,,,
MO,Exemption,Other,,,,
MO,Non-Committee,Other,,,,
# == Vermont ====================================================================,,,,,,
"# Registration Type (bulk feed) and Filer Type (grid feed) — the same concept",,,,,,
"# under two column names, with different spellings for the PAC values, so both",,,,,,
# vocabularies are mapped here. Counted from the real exports.,,,,,,
"# ""Candidate"" is the filer type of a candidate's own committee: Vermont",,,,,,
# registers the candidate and the campaign as a single filing entity.,,,,,,
VT,Candidate,Candidate Committee,,,,
VT,Political Action Committee,PAC,,,,
VT,PAC,PAC,,,,
"# An IE-only PAC may not contribute to candidates, only spend independently.",,,,,,
VT,IE-Only PAC,Independent Expenditure,,,,
VT,Independent Expenditure Only PAC,Independent Expenditure,,,,
"# Caucus committees run by legislative leadership; candidate-adjacent but not",,,,,,
# a candidate's own committee.,,,,,,
VT,Legislative Leadership PAC,PAC,,,,
VT,Political Party Committee,Party Committee,,,,
VT,Political Party,Party Committee,,,,
VT,Public Question Committee,Ballot Measure,,,,
VT,Ballot Question Committee,Ballot Measure,,,,
